VAWA Offenses - Noncampus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,173142,Bethany Lutheran College,1,(Main Campus)  Bethany Lutheran College,531,0,0,0
2014,150145,Bethel College-Indiana,1,Main Campus,1792,0,0,0
2014,262022,Bethel Seminary-San Diego,1,Bethel Seminary San Diego,176,0,0,0
2014,173160,Bethel University,1,Bethel University - Main Campus,3979,0,0,0
2014,219718,Bethel University,1,Bethel University,6229,0,0,0
2014,132602,Bethune-Cookman University,1,Main Campus,4044,0,3,0
2014,110097,Biola University,1,Main Campus,6358,0,0,0
2014,110097,Biola University,14,Heidelberg,6358,0,0,0
2014,442949,Birthingway College of Midwifery,1,Main Campus,76,0,0,0
2014,183822,Bloomfield College,1,Main Campus,2004,0,0,0
2014,175430,Blue Mountain College,1,Main Campus,544,0,0,0
2014,231554,Bluefield College,1,Main Campus,944,0,0,0
2014,201371,Bluffton University,1,Main Campus,1094,0,0,0
2014,164924,Boston College,1,Main Campus,14317,0,0,0
2014,164988,Boston University,1,Boston University Charles River Campus,32112,0,0,0
2014,164988,Boston University,2,Boston University Medical Campus,32112,0,0,0
2014,161004,Bowdoin College,1,Main Campus,1805,0,0,0
2014,143358,Bradley University,1,Main Campus,5300,0,0,0
2014,165015,Brandeis University,1,Main Campus,5945,0,0,0
2014,156356,Brescia University,1,Main Campus,1056,0,0,0
2014,198066,Brevard College,1,Main Campus,705,0,0,0
2014,139205,Brewton-Parker College,1,Main Campus  Mt. Vernon Georgia,638,0,0,0
2014,231581,Bridgewater College,1,Main Campus,1785,0,0,0
2014,230047,Brigham Young University-Hawaii,1,Brigham Young University-Hawaii,2787,0,2,2
2014,142522,Brigham Young University-Idaho,1,BYU-Idaho,36624,0,0,0
2014,230038,Brigham Young University-Provo,1,Brigham Young University (230038),30484,0,0,0
2014,189501,Brooklyn Law School,1,Main Campus,1141,0,0,0
2014,217156,Brown University,1,Main Campus,9181,0,0,0
2014,219790,Bryan College-Dayton,1,Main Campus,1599,0,0,0
2014,211273,Bryn Mawr College,1,Main Campus,1709,0,0,0
2014,211291,Bucknell University,1,Bucknell University- Main Campus,3624,0,0,0
2014,153001,Buena Vista University,1,Main Campus and GPS sites,2295,0,0,0
2014,230825,Burlington College,1,Main Campus,224,0,1,0
2014,150163,Butler University,1,Butler University,4848,0,0,0
2014,211352,Cabrini College,1,Main Campus,2203,0,0,0
2014,215114,Cairn University-Langhorne,1,Main Campus,1058,0,0,0
2014,110361,California Baptist University,1,Main Campus,7957,0,0,0
2014,110361,California Baptist University,7,California Baptist University - Online and Professional Studies,7957,0,0,0
2014,110370,California College of the Arts,1,Oakland Campus,1998,0,0,0
2014,110370,California College of the Arts,2,San Francisco Campus,1998,0,0,0
2014,110404,California Institute of Technology,1,Main Campus,2209,0,0,1
2014,111081,California Institute of the Arts,1,Main Campus,1471,0,0,0
2014,110413,California Lutheran University,1,Main Campus,4160,0,0,0
2014,110413,California Lutheran University,2,California Lutheran University Oxnard Campus,4160,0,0,0
2014,110413,California Lutheran University,4,California Lutheran University Woodland Hills Campus,4160,0,0,0
2014,111391,California Western School of Law,1,California Western School of Law,781,0,0,0
2014,150172,Calumet College of Saint Joseph,1,Main Campus,1072,0,0,0
2014,169080,Calvin College,1,Calvin College,3993,0,0,0
2014,169099,Calvin Theological Seminary,1,Main Campus,291,0,0,0
2014,156365,Campbellsville University,1,Main Campus,3427,0,0,0
2014,189705,Canisius College,1,Main Campus,4181,0,0,0
2014,201548,Capital University,1,Main Campus,3494,0,0,0
2014,201548,Capital University,2,Capital University Law School,3494,0,0,0
2014,162061,Capitol Technology University,1,Main Campus,793,0,0,0
2014,238430,Cardinal Stritch University,1,Main Campus,3811,0,0,0
2014,211431,Carlow University,1,Main Campus,2201,0,0,1
2014,211440,Carnegie Mellon University,1,Main Campus,12587,0,0,0
2014,219806,Carson-Newman University,1,Main Campus,2362,0,0,0
2014,238476,Carthage College,1,Main Campus,2948,0,0,0
2014,201645,Case Western Reserve University,1,Main Campus,10771,0,0,0
2014,131283,Catholic University of America,1,The Catholic University of America,6699,0,0,0
2014,189848,Cazenovia College,1,Main Campus,1091,0,0,0
2014,211468,Cedar Crest College,1,Cedar Crest College,1531,0,0,0
2014,201654,Cedarville University,1,Main Campus,3585,0,0,0
2014,183974,Centenary College,1,Hackettstown,2318,0,0,0
2014,158477,Centenary College of Louisiana,1,Main Campus,619,0,0,0
2014,106713,Central Baptist College,1,Main Campus,858,0,0,0
2014,154855,Central Christian College of Kansas,1,Main Campus,1165,0,0,0
2014,153108,Central College,1,Main Campus,1411,0,0,0
2014,445267,Central Methodist University-College of Graduate and Extended Studies,1,Main Campus,4537,0,0,0
2014,445267,Central Methodist University-College of Graduate and Extended Studies,11,Central Methodist University at Maryland Heights,4537,0,0,0
2014,176947,Central Methodist University-College of Liberal Arts and Sciences,1,College of Liberal Arts and Sciences,1185,0,0,0
2014,156408,Centre College,1,Main Campus,1387,0,0,0
2014,141486,Chaminade University of Honolulu,1,Chaminade University of Honolulu,2756,0,0,0
2014,230852,Champlain College,1,Main Campus,3585,0,0,0
2014,230852,Champlain College,2,Champlain College-Dublin,3585,0,0,0
2014,111948,Chapman University,1,Main Campus,8132,0,0,0
2014,111966,Charles R Drew University of Medicine and Science,1,Main Campus,481,0,0,0
2014,217688,Charleston Southern University,1,Main Campus,3367,0,0,0
2014,211556,Chatham University,1,Main Campus,2134,0,0,0
2014,211583,Chestnut Hill College,1,Chestnut Hill College,2063,0,0,0
2014,112127,Church Divinity School of the Pacific,1,Church Divinity School of the Pacific,64,0,0,0
2014,201858,Cincinnati Christian University,1,Cincinnati Christian University,835,0,0,0
2014,217873,Claflin University,1,Main Campus,1866,0,0,0
2014,112251,Claremont Graduate University,1,Main Campus,2160,0,0,0
2014,138947,Clark Atlanta University,1,Clark Atlanta University,3485,0,0,0
2014,153126,Clarke University,1,Clarke University,1200,0,2,0
2014,190044,Clarkson University,1,Main Campus,3873,0,0,0
2014,153144,Coe College,1,Main Campus,1436,0,0,0
2014,217907,Coker College,1,Main Campus,1219,0,0,0
2014,161086,Colby College,1,Main Campus,1847,0,0,0
2014,182634,Colby-Sawyer College,1,Main Campus,1369,0,0,0
2014,190099,Colgate University,1,Main Campus,2888,0,0,0
2014,167394,College of Our Lady of the Elms,1,College of Our Lady of the Elms,1717,0,0,0
2014,160959,College of the Atlantic,1,College of the Atlantic,386,0,0,0
2014,166124,College of the Holy Cross,1,Main Campus,2787,0,0,0
2014,178697,College of the Ozarks,1,Main Campus,1433,0,0,0
2014,126669,Colorado Christian University,1,Main Campus,5787,0,0,0
2014,126678,Colorado College,1,Colorado College,2067,1,0,0
2014,217934,Columbia College,1,Columbia College,1221,0,0,0
2014,144281,Columbia College-Chicago,1,Columbia College Chicago,9440,0,0,0
2014,112570,Columbia College-Hollywood,1,Main Campus,308,0,0,0
2014,190150,Columbia University in the City of New York,1,Morningside Campus,27589,0,0,0
2014,173300,Concordia College at Moorhead,1,Concordia College,2398,1,0,0
2014,169363,Concordia University-Ann Arbor,1,Concordia University-Ann Arbor,829,0,0,0
2014,144351,Concordia University-Chicago,1,Main Campus,5038,0,0,0
2014,112075,Concordia University-Irvine,1,Main Campus,4311,0,0,0
2014,180984,Concordia University-Nebraska,1,Concordia University,2332,0,0,0
2014,180984,Concordia University-Nebraska,2,Fallbrook Campus,2332,0,0,0
2014,208488,Concordia University-Portland,1,Main Campus,7435,0,0,0
2014,173328,Concordia University-Saint Paul,1,Main Campus,4081,0,0,0
2014,224004,Concordia University-Texas,1,Concordia University Texas,2504,0,0,0
2014,224004,Concordia University-Texas,2,Houston Center,2504,0,0,0
2014,224004,Concordia University-Texas,3,San Antonio,2504,0,0,0
2014,224004,Concordia University-Texas,4,DFW Center,2504,0,0,0
2014,224004,Concordia University-Texas,5,North Lamar Center,2504,0,0,0
2014,238616,Concordia University-Wisconsin,1,Concordia University-Wisconsin,8161,0,0,0
2014,128902,Connecticut College,1,Connecticut College,1900,0,0,0
2014,217961,Converse College,1,Converse College,1389,0,0,0
2014,153162,Cornell College,1,Main Campus,1086,0,0,0
2014,190415,Cornell University,1,Statutory and Endowed Campus,21679,2,4,2
2014,190415,Cornell University,2,Cornell Tech,21679,0,0,0
2014,170037,Cornerstone University,1,Main Campus,2770,0,0,0
2014,177126,Covenant Theological Seminary,1,Main Campus,541,0,0,0
2014,176770,Cox College,1,Cox College,807,2,0,0
2014,176770,Cox College,2,Cox-South,807,1,0,0
2014,176770,Cox College,3,Meyer Orthopedic & Rehab Hospital,807,0,0,0
2014,181002,Creighton University,1,Main Campus,8236,0,0,0
2014,439613,Crossroads Bible College,1,Main Campus,241,0,0,0
2014,106810,Crowley's Ridge College,1,Main Campus,224,0,0,0
2014,177144,Culver-Stockton College,1,Main Campus,971,0,0,0
2014,165529,Curry College,1,Main Campus,3141,0,0,0
2014,190716,D'Youville College,1,Main Campus,3067,0,0,0
2014,190725,Daemen College,1,Main Campus,2800,0,0,0
2014,224226,Dallas Baptist University,1,Main Campus,5445,0,0,0
2014,224305,Dallas Theological Seminary,1,Main Campus-Dallas,2088,0,0,0
2014,182670,Dartmouth College,1,Dartmouth College  Main Campus,6298,0,2,4
2014,169479,Davenport University,1,Davenport University - Lettinga Campus,8715,0,0,0
2014,198385,Davidson College,1,Main Campus,1770,0,0,0
2014,198385,Davidson College,2,Lake Campus,1770,0,0,0
2014,165574,Dean College,1,Main Campus,1325,0,0,0
2014,202514,Defiance College,1,Main Campus,920,0,0,0
2014,211981,Delaware Valley University,1,Delaware Valley University,2137,0,0,0
2014,144740,DePaul University,1,Main Campus - Lincoln Park Campus,23799,0,0,0
2014,144740,DePaul University,2,Loop Campus,23799,2,4,0
2014,150400,DePauw University,1,Main Campus,2215,0,0,0
2014,212009,Dickinson College,1,Main Campus,2364,3,0,2
2014,158802,Dillard University,1,Dillard University,1200,0,0,0
2014,181020,Doane College-Crete,1,Doane College Crete Campus,1065,0,0,0
2014,190761,Dominican College of Blauvelt,1,Main Campus,1980,0,1,0
2014,113698,Dominican University of California,1,Dominican University of California,2001,0,0,0
2014,190770,Dowling College,1,Dowling College Oakdale Campus,2453,0,0,0
2014,190770,Dowling College,2,Dowling College / Shirley Campus,2453,0,0,0
