Criminal Offenses - On campus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,168740,Andrews University,1,Main Campus,2721,0,0,0,,,1,,,0,2,6,3,1
2001,164492,Anna Maria College,1,Main Campus,1264,0,0,2,,,0,,,0,1,5,0,0
2001,201007,Antioch College,1,Antioch College,682,0,0,0,,,0,,,0,0,0,0,1
2001,245838,Antioch University-Los Angeles,1,Main Campus,588,0,0,0,,,0,,,0,0,1,0,0
2001,245892,Antioch University-Midwest,1,Antioch University Midwest,628,0,0,0,,,0,,,0,0,0,0,1
2001,245865,Antioch University-New England,1,Main Campus,910,0,0,0,,,0,,,0,0,0,0,0
2001,245847,Antioch University-Santa Barbara,1,Antioch University at Santa Barbara,296,0,0,0,,,0,,,1,0,1,0,0
2001,245883,Antioch University-Seattle,1,Main Campus,816,0,0,0,,,0,,,0,0,0,0,0
2001,441511,Apex School of Theology,1,Main Campus,,0,0,0,,,0,,,0,0,0,0,0
2001,237136,Appalachian Bible College,1,APPALACHIAN  BIBLE COLLEGE,242,0,0,0,,,0,,,0,0,1,0,0
2001,432348,Appalachian School of Law,1,Main Campus,242,0,0,0,,,0,,,0,0,0,0,0
2001,168786,Aquinas College,1,Main Campus,2571,0,0,2,,,0,,,0,2,15,0,0
2001,219578,Aquinas College,1,Aquinas College,626,0,0,0,,,0,,,0,0,0,0,0
2001,176600,Aquinas Institute of Theology,1,Main Campus,252,0,0,0,,,0,,,1,0,0,0,0
2001,211088,Arcadia University,1,Main Campus,2991,0,0,0,,,0,,,0,0,5,1,0
2001,105899,Arizona Christian University,1,Main Campus,102,0,0,0,,,0,,,0,0,5,3,0
2001,106306,Arkansas Baptist College,1,Arkansas Baptist College,235,0,0,0,,,0,,,0,0,1,0,0
2001,222877,Arlington Baptist College,1,Main Campus,240,0,0,0,,,0,,,0,0,0,0,0
2001,201061,Art Academy of Cincinnati,1,Art Academy of Cincinnati,218,0,0,0,,,0,,,1,0,1,0,0
2001,109651,Art Center College of Design,1,Hillside Campus,1465,0,0,0,,,0,,,0,0,3,1,0
2001,109651,Art Center College of Design,2,South Campus,1465,0,0,0,,,0,,,0,0,1,0,0
2001,156222,Asbury Theological Seminary,1,Asbury Theological Seminary,1414,0,0,0,,,0,,,0,0,0,1,0
2001,156222,Asbury Theological Seminary,2,Asbury Theological Seminary - Dunnam Campus,1414,0,0,0,,,0,,,0,0,0,1,0
2001,156213,Asbury University,1,ASBURY UNIVERSITY,1352,0,0,0,,,0,,,0,0,12,0,0
2001,201104,Ashland University,1,Ashland University,6359,0,0,0,,,0,,,0,0,7,0,0
2001,201104,Ashland University,2,Ashland Theological Seminary,6359,0,0,0,,,0,,,0,0,0,0,0
2001,201104,Ashland University,3,Elyria Program Center,6359,0,0,0,,,0,,,0,0,0,0,0
2001,201104,Ashland University,4,Columbus Program Center- Ashland University,6359,0,0,0,,,0,,,0,0,0,0,0
