Criminal Offenses - On campus,,,,,
Survey year,Institution name, Campus Name,Institution Size,Rape,Fondling
2014,AI Miami International University of Art and Design,Miami International University of Art and Design,2846,0,1
2014,AI Miami International University of Art and Design,The Art Institute of Tampa,2846,0,0
2014,AI Miami International University of Art and Design,The Art Institute of Jacksonville,2846,0,0
2014,AIB College of Business,Main Campus,1014,0,0
2014,Aiken School of Cosmetology,Aiken School of Cosmetology,37,0,0
2014,Aiken Technical College,Main Campus,2351,0,0
2014,Ailano School of Cosmetology,Main Campus,36,0,0
2014,Aims Community College,Greeley Campus,5001,0,0
2014,Aims Community College,Aims Community College - Loveland Campus,5001,0,0
2014,Aims Community College,Aims Community College - Fort Lupton Campus,5001,0,0
2014,Aims Community College,Aims Automotive Technology Center-Windsor,5001,0,0
2014,Akron Institute of Herzing University,Main Campus,318,0,0
2014,Akron School of Practical Nursing,Akron School of Practical Nursing,47,0,0
2014,Alabama A & M University,Main Campus,5333,0,2
2014,Alabama Southern Community College,Main Campus,1398,0,0
2014,Alabama Southern Community College,THOMASVILLE CAMPUS,1398,0,0
2014,Alabama Southern Community College,GILBERTOWN CAMPUS,1398,0,0
2014,Alabama Southern Community College,JACKSON CAMPUS,1398,0,0
2014,Alabama State College of Barber Styling,Alabama state College of Barber Styling,25,0,0
2014,Alabama State University,Main Campus,5519,2,0
2014,Alamance Community College,Main Campus,4437,0,0
2014,Alamance Community College,Dillingham Center,4437,0,0
2014,Alamo City Barber College,Main Campus,113,0,0
2014,Alaska Bible College,Main Campus,46,0,0
2014,Alaska Career College,Main Campus,479,0,0
2014,Alaska Christian College,Alaska Christian College,68,0,1
2014,Alaska Pacific University,Main Campus,579,0,0
2014,Albany BOCES-Adult Practical Nursing Program,Capital Region Career and Technical School- Albany,141,0,0
2014,Albany College of Pharmacy and Health Sciences,Albany College of Pharmacy and Health Sciences,1563,0,0
2014,Albany College of Pharmacy and Health Sciences,Vermont Campus,1563,0,0
2014,Albany Law School,Main Campus,475,0,0
2014,Albany Medical College,Albany Medical College,823,0,1
2014,Albany State University,Albany State University,3910,2,0
2014,Albany Technical College,Albany Technical College,3640,0,1
2014,Albert I Prince Technical High School,Albert I Prince Regional Vocational Technical Sch,56,0,0
2014,Albertus Magnus College,Main Campus,1550,0,0
