VAWA Offenses - Public Property
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,449922,Appalachian College of Pharmacy,1,Main Campus,214,0,0,0
2014,432348,Appalachian School of Law,1,Main Campus,160,0,0,0
2014,168786,Aquinas College,1,Main Campus,1933,0,0,0
2014,219578,Aquinas College,1,Aquinas College,472,0,0,0
2014,176600,Aquinas Institute of Theology,1,Main Campus,156,0,0,0
2014,211088,Arcadia University,1,Main Campus,3939,0,0,0
2014,211088,Arcadia University,2,King of Prussia,3939,0,0,0
2014,211088,Arcadia University,3,Christiana,3939,0,0,0
2014,105899,Arizona Christian University,1,Main Campus,737,0,0,0
2014,106306,Arkansas Baptist College,1,Arkansas Baptist College,899,0,0,0
2014,222877,Arlington Baptist College,1,Main Campus,250,0,0,0
2014,201061,Art Academy of Cincinnati,1,Art Academy of Cincinnati,209,0,0,0
2014,109651,Art Center College of Design,1,Hillside Campus,2045,0,0,0
2014,109651,Art Center College of Design,2,South Campus,2045,0,0,0
2014,156222,Asbury Theological Seminary,1,Asbury Theological Seminary,1470,0,0,0
2014,156222,Asbury Theological Seminary,2,Asbury Theological Seminary - Dunnam Campus,1470,0,0,0
2014,156213,Asbury University,1,ASBURY UNIVERSITY,1879,0,0,0
2014,201104,Ashland University,1,Ashland University,5737,0,0,0
2014,201104,Ashland University,2,Ashland Theological Seminary,5737,0,0,0
2014,201104,Ashland University,3,Elyria Program Center,5737,0,0,0
2014,201104,Ashland University,4,Columbus Program Center- Ashland University,5737,0,0,0
2014,201104,Ashland University,7,Detroit Pastorial Counseling Program- Ashland Univ,5737,0,0,0
2014,201104,Ashland University,9,Schar College of Nursing,5737,0,0,0
2014,201104,Ashland University,10,Ashland Theological Seminary - Cleveland Center,5737,0,0,0
2014,164562,Assumption College,1,Main Campus,2719,0,0,0
2014,164562,Assumption College,2,Villino Dufault Campus,2719,0,0,0
2014,439446,Atlantic Institute of Oriental Medicine,1,Main Campus,139,0,0,0
2014,173045,Augsburg College,1,Main Campus,3548,1,0,0
2014,173045,Augsburg College,2,Rochester Program,3548,0,0,0
2014,143084,Augustana College,1,Main Campus,2497,0,0,0
2014,219000,Augustana College,1,Main Campus,1825,0,0,0
2014,201177,Aultman College of Nursing and Health Sciences,1,Aultman College of Nursing and Health Sciences,358,0,0,0
2014,143118,Aurora University,1,Main Campus,5084,0,0,0
2014,143118,Aurora University,2,George Williams College,5084,0,0,0
2014,143118,Aurora University,3,Woodstock Center,5084,0,0,0
2014,222983,Austin College,1,Main Campus,1301,0,0,0
2014,247825,Austin Graduate School of Theology,1,Main Campus,40,0,0,0
2014,223001,Austin Presbyterian Theological Seminary,1,Main Campus,145,0,0,0
2014,442295,Ave Maria School of Law,1,Ave Maria School of Law,269,0,0,0
2014,446048,Ave Maria University,1,Ave Maria University,1081,0,0,0
2014,231420,Averett University,1,Main Campus,872,0,0,0
2014,449931,Averett University-Non-Traditional Programs,1,GPS-Main Campus,1118,0,0,0
2014,449931,Averett University-Non-Traditional Programs,2,GPS-Chesapeake,1118,0,0,0
2014,449931,Averett University-Non-Traditional Programs,3,GPS-Quantico,1118,0,0,0
2014,449931,Averett University-Non-Traditional Programs,4,Richmond,1118,0,0,0
2014,176628,Avila University,1,Main Campus,1907,0,0,0
2014,109785,Azusa Pacific University,1,Azusa (main campus),9972,0,0,0
2014,109785,Azusa Pacific University,2,Inland Empire Regional Center,9972,0,0,0
2014,109785,Azusa Pacific University,4,Orange County Regional Center,9972,0,0,0
2014,109785,Azusa Pacific University,5,San Diego Regional Center,9972,0,0,0
2014,109785,Azusa Pacific University,6,High Desert Regional Center,9972,0,0,0
2014,109785,Azusa Pacific University,7,Los Angeles Regional Center,9972,1,0,0
2014,109785,Azusa Pacific University,8,Murrieta Regional Center,9972,0,0,0
2014,109785,Azusa Pacific University,9,Ventura Regional Center,9972,0,0,0
2014,164580,Babson College,1,Main Campus,3049,0,0,0
2014,164580,Babson College,2,Babson College - San Francisco,3049,0,0,0
2014,206817,Bacone College,1,Main Campus,968,0,0,0
2014,476601,Bais HaMedrash and Mesivta of Baltimore,1,Main Campus,59,0,0,0
2014,245777,Bais Medrash Elyon,1,Main Campus,97,0,0,0
2014,449658,Bais Medrash Toras Chesed,1,Main Campus,111,0,0,0
2014,414708,Baker College Center for Graduate Studies,1,Baker College Center for Graduate Studies,4530,0,0,0
2014,444167,Baker College of Allen Park,1,Baker College Allen Park,3372,0,0,0
2014,404073,Baker College of Auburn Hills,1,BAKER COLLEGE OF AUBURN HILLS,2703,0,0,0
2014,404648,Baker College of Cadillac,1,BAKER COLLEGE OF CADILLAC,1340,0,0,0
2014,404648,Baker College of Cadillac,2,Center for Transportation & Technology CTT),1340,0,0,0
2014,404082,Baker College of Clinton Township,1,BAKER COLLEGE OF CLINTON TOWNSHIP,3625,3,0,0
2014,168847,Baker College of Flint,1,BAKER COLLEGE OF FLINT,3726,0,0,0
2014,168847,Baker College of Flint,2,Cass City Campus of Baker College,3726,0,0,0
2014,168847,Baker College of Flint,4,Center for Transportation Technology,3726,0,0,0
2014,414160,Baker College of Jackson,1,BAKER COLLEGE OF JACKSON,1937,0,0,0
2014,414160,Baker College of Jackson,2,Baker College of Coldwater,1937,0,0,0
2014,171298,Baker College of Muskegon,1,BAKER COLLEGE OF MUSKEGON,3481,0,0,0
2014,171298,Baker College of Muskegon,2,Culinary Institute of Michigan,3481,0,0,0
2014,171298,Baker College of Muskegon,3,Fremont Extension,3481,0,0,0
2014,168838,Baker College of Owosso,1,BAKER COLLEGE OF OWOSSO,2512,0,0,0
2014,381617,Baker College of Port Huron,1,Baker College of Port Huron,798,0,0,0
2014,381617,Baker College of Port Huron,2,Culinary Institute of Michigan,798,0,0,0
2014,154688,Baker University,1,Main Campus,2957,0,0,0
2014,154688,Baker University,3,School of Nursing,2957,0,0,0
2014,154688,Baker University,4,School of Professional and Graduate Studies-Overland Park,2957,0,0,0
2014,154688,Baker University,5,School of Professional and Graduate Studies - Lee's Summit,2957,0,0,0
2014,154688,Baker University,6,School of Professional and Graduate Studies - Topeka,2957,0,0,0
2014,154688,Baker University,7,School of Professional and Graduate Studies - Wichita,2957,0,0,0
2014,420705,Bakke Graduate University,1,Main Campus,186,0,0,0
2014,201195,Baldwin Wallace University,1,Main Campus,3979,1,0,0
2014,189015,Bank Street College of Education,1,Bank Street College of Education,747,0,0,0
2014,176664,Baptist Bible College,1,Main Campus,373,0,0,0
2014,211024,Baptist Bible College & Seminary of Pennsylvania,1,Main Campus,836,0,0,0
2014,219639,Baptist Memorial College of Health Sciences,1,Main Campus,1170,0,0,0
2014,223117,Baptist Missionary Association Theological Seminary,1,Baptist Missionary Association Theologi,137,0,0,0
2014,366793,Baptist Theological Seminary at Richmond,1,Main Campus,78,0,0,0
2014,444398,Baptist University of the Americas,1,Main Campus,174,0,0,0
2014,155070,Barclay College,1,Main Campus,251,0,0,0
2014,189088,Bard College,1,Main Campus,2469,0,0,0
2014,189088,Bard College,2,Bard Graduate Center,2469,0,0,0
2014,189088,Bard College,3,Longy School of Music,2469,0,0,0
2014,167792,Bard College at Simon's Rock,1,Main Campus,329,0,0,0
2014,189097,Barnard College,1,Main Campus,2573,0,0,0
2014,177719,Barnes-Jewish College Goldfarb School of Nursing,1,Main Campus,715,0,0,0
2014,132471,Barry University,1,Main Campus,8518,0,0,0
2014,132471,Barry University,2,Barry University-Law School,8518,0,0,0
