case,lats,lons,name,size
0.0,40.819794,-73.95055,CUNY City College,10378.0
0.0,40.748503,-73.983575,CUNY Graduate School and University Center,3703.0
0.0,40.768669,-73.964795,CUNY Hunter College,20397.0
0.0,40.768669,-73.964795,CUNY Hunter College,20397.0
0.0,40.768669,-73.964795,CUNY Hunter College,20397.0
0.0,40.768669,-73.964795,CUNY Hunter College,20397.0
0.0,40.768669,-73.964795,CUNY Hunter College,20397.0
0.0,40.770346,-73.988403,CUNY John Jay College of Criminal Justice,11469.0
0.0,40.873928,-73.894627,CUNY Lehman College,8889.0
0.0,40.666256,-73.957076,CUNY Medgar Evers College,4715.0
0.0,40.695483,-73.987856,CUNY New York City College of Technology,11028.0
0.0,40.737771,-73.815387,CUNY Queens College,15391.0
0.0,40.737078,-73.824506,CUNY School of Law at Queens College,443.0
0.0,40.702661,-73.794586,CUNY York College,5208.0
0.0,44.0127,-97.109609,Dakota State University,2013.0
0.0,34.77496,-85.00289,Dalton State College,3641.0
0.0,29.202286,-81.051266,Daytona State College,11204.0
0.0,29.202286,-81.051266,Daytona State College,11204.0
0.0,29.202286,-81.051266,Daytona State College,11204.0
0.0,29.202286,-81.051266,Daytona State College,11204.0
0.0,29.202286,-81.051266,Daytona State College,11204.0
0.0,29.202286,-81.051266,Daytona State College,11204.0
0.0,39.187173,-75.54053,Delaware State University,3343.0
0.0,33.743896,-90.734378,Delta State University,3801.0
0.0,46.882677,-102.800511,Dickinson State University,2101.0
0.0,36.327588,-109.294679,Dine College,1685.0
0.0,36.327588,-109.294679,Dine College,1685.0
0.0,36.327588,-109.294679,Dine College,1685.0
0.0,36.327588,-109.294679,Dine College,1685.0
0.0,36.327588,-109.294679,Dine College,1685.0
0.0,36.327588,-109.294679,Dine College,1685.0
0.0,36.327588,-109.294679,Dine College,1685.0
0.0,36.327588,-109.294679,Dine College,1685.0
10.0,35.606347,-77.366199,East Carolina University,19412.0
0.0,34.773805,-96.664196,East Central University,4189.0
0.0,40.99622,-75.172614,East Stroudsburg University of Pennsylvania,5996.0
0.0,36.301643,-82.366954,East Tennessee State University,11331.0
0.0,41.721673,-72.218753,Eastern Connecticut State University,5337.0
0.0,39.483017,-88.175505,Eastern Illinois University,10531.0
0.0,37.740396,-84.301356,Eastern Kentucky University,14945.0
0.0,37.740396,-84.301356,Eastern Kentucky University,14945.0
0.0,37.740396,-84.301356,Eastern Kentucky University,14945.0
0.0,37.740396,-84.301356,Eastern Kentucky University,14945.0
0.0,42.247935,-83.627076,Eastern Michigan University,24287.0
0.0,34.17826,-103.347294,Eastern New Mexico University-Main Campus,3556.0
0.0,45.320392,-118.09384,Eastern Oregon University,2971.0
0.0,36.861681,-76.300768,Eastern Virginia Medical School,645.0
0.0,47.491293,-117.589371,Eastern Washington University,8932.0
0.0,47.491293,-117.589371,Eastern Washington University,8932.0
0.0,41.869978,-80.126363,Edinboro University of Pennsylvania,7498.0
0.0,41.869978,-80.126363,Edinboro University of Pennsylvania,7498.0
0.0,36.273539,-76.210063,Elizabeth City State University,2004.0
0.0,38.412583,-96.179454,Emporia State University,5823.0
0.0,39.485925,-80.161844,Fairmont State University,6724.0
0.0,40.75408,-73.426371,Farmingdale State College,5449.0
0.0,40.74731,-73.994781,Fashion Institute of Technology,10786.0
0.0,35.072485,-78.894709,Fayetteville State University,5010.0
0.0,43.687464,-85.483509,Ferris State University,10930.0
0.0,42.589345,-71.789354,Fitchburg State University,5024.0
2.0,30.428596,-84.285663,Florida Agricultural and Mechanical University,12316.0
0.0,26.372536,-80.102293,Florida Atlantic University,23345.0
0.0,26.372536,-80.102293,Florida Atlantic University,23345.0
0.0,26.372536,-80.102293,Florida Atlantic University,23345.0
0.0,26.372536,-80.102293,Florida Atlantic University,23345.0
0.0,26.372536,-80.102293,Florida Atlantic University,23345.0
0.0,26.372536,-80.102293,Florida Atlantic University,23345.0
0.0,26.372536,-80.102293,Florida Atlantic University,23345.0
0.0,30.174307,-82.569667,Florida Gateway College,2318.0
